Hotel Name,Price
Stonecroft Inn,C$ 177
Super 8 by Wyndham Ambassador Bridge Windsor ON,C$ 118
Howard Johnson Plaza by Wyndham Windsor,C$ 101
Super 8 by Wyndham Windsor/Dougall,C$ 129
Caesars Windsor,C$ 259
Kenora Motel,C$ 106
Travelodge by Wyndham Windsor,C$ 89
Comfort Inn & Suites Ambassador Bridge,C$ 152
Lexington Inn & Suites-Windsor,C$ 93
Holiday Inn Express Windsor Waterfront,C$ 211
DoubleTree by Hilton Windsor Hotel & Suites,C$ 234
Comfort Inn Windsor,C$ 164
Motel 6 Windsor On,C$ 109
Hampton Inn & Suites by Hilton Windsor,C$ 199
Quality Inn & Suites,C$ 175
Bestway Motel,C$ 95
Ivy Rose Motor Inn,C$ 86
Albert Housing,C$ 90
Traveller's Choice Motel,C$ 142
Sandwich Boutique Hotel,C$ 243
Royal Windsor Motel,C$ 100
Residence & Conference Centre - Windsor,C$ 97
Four Points by Sheraton Windsor Downtown,C$ 211
TownePlace Suites by Marriott Windsor,C$ 223
Waterfronthome-Riverview,C$ 103
The Boho Oasis,C$ 211
Luxury Modern smart home for vacation,C$ 1845
Mulberry court,C$ 95
Modern Spacious 1 bedroom and a den home,C$ 572
