name,price,location,rating
Caesars Windsor,259,Windsor,84%
Super 8 by Wyndham Windsor/Dougall,119,Windsor,78%
Comfort Inn & Suites Ambassador Bridge,152,Windsor,78%
Caesars Windsor,259,Windsor,84%
DoubleTree by Hilton Windsor Hotel & Suites,243,Windsor,80%
Holiday Inn Express Windsor Waterfront- an IHG Hotel,225,Windsor,86%
Comfort Inn Windsor,175,Windsor,84%
Residence & Conference Centre - Windsor,138,Windsor,78%
Lexington Inn & Suites Windsor,93,Windsor,72%
Four Points by Sheraton Windsor Downtown,238,Windsor,84%
Super 8 by Wyndham Ambassador Bridge Windsor ON,140,Windsor,72%
Kenora Motel,119,Windsor,84%
Motel 6 Windsor- ON,104,Windsor,72%
TownePlace Suites by Marriott Windsor,284,Windsor,92%
Sandwich Boutique Hotel,183,Sandwich Towne,92%
Ivy Rose Motor Inn,73,Windsor,56%
Caesars Windsor,216,Windsor,84%
MotorCity Casino Hotel,482,Detroit,86%
Trumbull and Porter Hotel,279,Detroit,78%
Caesars Windsor,216,Windsor,84%
Holiday Inn Express Windsor Waterfront- an IHG Hotel,227,Windsor,86%
Fort Pontchartrain Detroit- a Wyndham Hotel,417,Downtown Detroit,78%
DoubleTree Suites by Hilton Hotel Detroit Downtown - Fort Shelby,449,Downtown Detroit,86%
Quality Inn & Suites Downtown,162,Windsor,78%
Baymont by Wyndham Downtown Detroit,153,Detroit,50%
SpringHill Suites by Marriott Detroit Dearborn,259,Dearborn,88%
Quality Inn Detroit Downtown,193,Detroit,70%
DoubleTree by Hilton Windsor Hotel & Suites,225,Windsor,80%
Four Points by Sheraton Windsor Downtown,217,Windsor,84%
TownePlace Suites by Marriott Windsor,232,Windsor,92%
Fort Pontchartrain Detroit- a Wyndham Hotel,417,Downtown Detroit,78%
Cambria Hotel Detroit Downtown,379,Downtown Detroit,96%
Great Canadian Casino Resort Toronto,252,Etobicoke,90%
Courtyard by Marriott Downtown Toronto,397,Toronto,84%
The Omni King Edward Hotel,439,Toronto,94%
Montecassino Hotel and Event Venue,179,Toronto,70%
Deluxe Inn,152,Toronto,70%
Best Western Premier Toronto Airport Carlingview Hotel,159,Etobicoke,84%
Chelsea Hotel- Toronto,499,Toronto,78%
Chinatown Travellers Home,107,Toronto,62%
The Station Aparthotel,330,Toronto,
Kensington Place Apartments,555,Toronto,60%
Best Western Premier Toronto Airport Carlingview Hotel,159,Etobicoke,84%
Toronto Travellers Home,117,Toronto,52%
Comfort Inn & Conference Centre Toronto Airport,192,Etobicoke,70%
Cambridge Suites Toronto,384,Toronto,92%
HomeNets,54,Toronto,66%
Great Canadian Casino Resort Toronto,252,Etobicoke,90%
Sheraton Centre Toronto Hotel,483,Toronto,88%
Sheraton Centre Toronto Hotel,483,Toronto,88%
Best Western Plus Toronto North York Hotel & Suites,205,Toronto,76%
Fairmont Royal York,652,Toronto,88%
Chelsea Hotel- Toronto,499,Toronto,78%
Toronto North Travellers Home,83,Toronto,54%
Waterfront Cove Hotel,10000,Sleeps 6,
Holiday Inn Express Toronto - Downtown- an IHG Hotel,436,Toronto,88%
Waterfront Yonge Apartments,429,Toronto,66%
Courtyard by Marriott Downtown Toronto,397,Toronto,84%
Fairmont Royal York Gold Experience,652,Toronto,94%
The Omni King Edward Hotel,439,Toronto,94%
Marriott Downtown at CF Toronto Eaton Centre,489,Toronto,90%
Executive Hotel Cosmopolitan Toronto,401,Toronto,82%
Crowne Plaza Toronto Airport- an IHG Hotel,229,Etobicoke,78%
Shangri-La Toronto,678,Toronto Entertainment District,94%
Super 8 by Wyndham Toronto East ON,177,Toronto,60%
Marriott Downtown at CF Toronto Eaton Centre,489,Toronto,90%
Holiday Inn Toronto - Int'l Airport- an IHG Hotel,222,Toronto,82%
Dragon Gate Inn,229,Toronto,60%
EST Hotel,160,Etobicoke,60%
Soho Hotel Toronto,605,Toronto,94%
Novotel Toronto Centre,563,Toronto,92%
Hyatt Regency Toronto,566,Toronto,86%
Homewood Suites by Hilton Toronto Airport Corporate Centre,289,Toronto,90%
Delta Hotels by Marriott Toronto Airport & Conference Centre,261,Etobicoke,86%
The Anndore House- part of JdV by Hyatt,563,Toronto,92%
The Broadview Hotel,560,Toronto,92%
Sheraton Toronto Airport Hotel & Conference Centre,285,Etobicoke,86%
City Suites w Views,378,Toronto,
Waterfront Majesty Enclaves,15000,Sleeps 2,
Waterfront Serene Heights,20000,Sleeps 3,
The Broadview Hotel,560,Toronto,92%
Toronto Marriott City Centre Hotel,584,Toronto,90%
Toronto Marriott City Centre Hotel,584,Toronto,90%
Embassy Suites by Hilton Toronto Airport,325,Toronto,90%
Sonder The Slate,462,Toronto,78%
Waterfront Yorkville Haven,1040,Yorkville,
Park Hyatt Toronto,851,Toronto,92%
The Hazelton Hotel Toronto,1009,Yorkville,98%
The Ritz-Carlton- Toronto,1200,Toronto Entertainment District,96%
Toronto Airport Marriott Hotel,271,Etobicoke,86%
Sheraton Toronto Airport Hotel & Conference Centre,285,Etobicoke,86%
Hampton Inn by Hilton Toronto Airport Corporate Centre,299,Toronto,86%
The St. Regis Toronto,1009,Toronto,94%
Stallion Suites Yorkville,1180,Yorkville,98%
Windsor Arms Hotel,2000,Toronto,88%
Waterfront Boutique Suites,579,Entire apartment,72%
University Apartment - Campus Accommodation,105,Toronto,50%
Samesun Toronto - Hostel,205,Toronto,78%
Super 5 Inn,152,15 km from Toronto,74%
Liberty Suites Hotel,276,17.02 km from Toronto,82%
Four Points by Sheraton Vaughan,245,18.01 km from Toronto,86%
Hilton Toronto Airport Hotel & Suites,255,18.19 km from Toronto,82%
Staybridge Suites Toronto - Vaughan South- an IHG Hotel,291,18.22 km from Toronto,86%
Hilton Garden Inn Toronto Airport,251,18.38 km from Toronto,82%
Courtyard by Marriott Toronto Northeast/Markham,265,18.4 km from Toronto,84%
TownePlace Suites by Marriott Toronto Northeast/Markham,235,18.42 km from Toronto,88%
Hampton Inn & Suites by Hilton Toronto Airport,259,18.44 km from Toronto,80%
Hilton Garden Inn Toronto Airport West/Mississauga,215,18.99 km from Toronto,88%
Courtyard by Marriott Toronto Vaughan,247,19.27 km from Toronto,88%
Residence Inn by Marriott Toronto Vaughan,291,19.34 km from Toronto,90%
Sheraton Gateway Hotel In Toronto International Airport,369,19.43 km from Toronto,90%
Hilton Garden Inn Toronto-Vaughan,259,19.45 km from Toronto,80%
Element Toronto Airport,276,19.6 km from Toronto,90%
Comfort Inn Airport West,183,19.87 km from Toronto,82%
Monte Carlo Inn & Suites Downtown Markham,236,19.95 km from Toronto,84%
DoubleTree by Hilton Toronto Airport West,202,20.11 km from Toronto,80%
Monte Carlo Inn Vaughan Suites,208,20.18 km from Toronto,82%
Homewood Suites by Hilton Toronto Vaughan,298,20.46 km from Toronto,86%
SpringHill Suites by Marriott Toronto Vaughan,261,20.47 km from Toronto,90%
Quality Inn & Suites,168,20.56 km from Toronto,72%
Hyatt Regency Toronto,566,Toronto,86%
Sonder The Slate,462,Toronto,78%
Holiday Inn Express & Suites Toronto Airport West- an IHG Hotel,176,20.6 km from Toronto,76%
Delta Hotels by Marriott Toronto Mississauga,280,21.27 km from Toronto,84%
Park Inn By Radisson Toronto - Markham,223,21.27 km from Toronto,72%
Hampton Inn & Suites by Hilton Toronto Markham,254,21.36 km from Toronto,86%
Sheraton Parkway Toronto North Hotel & Suites,280,21.42 km from Toronto,86%
Four Points by Sheraton Toronto Mississauga,209,21.48 km from Toronto,82%
Delta Hotels by Marriott Toronto Markham,253,21.73 km from Toronto,90%
Holiday Inn Express Hotel & Suites Toronto - Markham- an IHG Hotel,262,21.8 km from Toronto,86%
RS Boutique Suites - City Centre,268,22.14 km from Toronto,66%
Toronto Marriott Markham,323,22.35 km from Toronto,90%
Virgin Hotels New York City,362,New York,90%
Arlo Midtown,311,New York,92%
Club Quarters Hotel- Grand Central,232,New York,86%
