Hotel Name,Hotel Price (CA) per night
Holiday Inn Express Windsor Waterfront, An Ihg Hotel","$161"
Comfort Inn & Suites Ambassador Bridge","$135"
Four Points by Sheraton Windsor Downtown","$177"
Doubletree By Hilton Windsor Hotel & Suites","$169"
Quality Inn & Suites Windsor","$139"
Caesars Windsor","$179"
Hampton Inn & Suites By Hilton Windsor","$179"
TownePlace Suites by Marriott Windsor","$184"
Comfort Inn Windsor","$146"
Stonecroft Inn","$150"
Lexington Inn & Suites-Windsor","$89"
Super 8 By Wyndham Windsor/Dougall","$99"
Howard Johnson Plaza By Wyndham Windsor","$84"
Ramada Limited Windsor","$110"
Super 8 By Wyndham Ambassador Bridge Windsor On","$119"
The Boho Oasis","$140"
Motel 6-Windsor, On","$104"
Ye Olde Walkerville Bed & Breakfast","$114"
Kenora Masterchoice","$94"
Ivy Rose Motor Inn","$73"
Residence & Conference Centre - Windsor","$114"
2 Bedroom With Laundry And Parking In Windsor","$136"
Housing Albert","$69"
Sandwich Boutique Hotel","$161"
Travellers Choice","$100"
Windsor Riverside Inn","$176"
Paradise Home - Your Home Away From Home","$115"
Hotel/home","$380"
Charming Renovated One Bedroom Apartment.","$156"
Walkerville Brownstones - New #10","$217"
Hometown Folks’ Desirable Riverside/east Windsor","$275"
Modern & Private 1-bedroom Apartment","$124"
Modern & Pet-friendly 2br W/ Gym & Workstation In Walkerville","$300"
Royal Windsor Motel","$105"
Comfort Inn Downtown","$163"
Comfort Inn Downtown","$163"
Mulberry Court","$90"
Super 8 Windsor/dougall","$99"
Paradise Home - Jamrock","$90"
Harrahs Windsor Casino","$237"
Lorris Suite 1 Bedroom With Historical Charm","$135"
Radisson Riverfront Windsor","$169"
Navy Gold Dream - 2 Bedroom House W/ Work Station","$148"
Trumbull And Porter - Detroit Downtown","$159"
Stunning 3 Bedroom Single Family Home.","$180"
Fort Pontchartrain Detroit, A Wyndham Hotel","$193"
Spacious Cheerful Home With 2 Free Parking","$140"
Detroit Marriott at the Renaissance Center","$274"
Hilton Garden Inn Detroit Downtown","$300"
DoubleTree Suites by Hilton Hotel Detroit Downtown - Fort Shelby","$268"
Hollywood Casino At Greektown","$207"
MGM Grand Detroit","$269"
The Westin Book Cadillac Detroit","$348"
Comfort Inn Downtown Detroit","$173"
Courtyard By Marriott Detroit Downtown","$271"
Detroit Foundation Hotel","$367"
Affordable 2-bedroom Dt Detroit.","$414"
Sonder Gabriel Richard","$117"
Hotel Indigo Detroit Downtown, an IHG Hotel","$254"
Shinola Hotel","$367"
Element Detroit at the Metropolitan","$312"
Hotel David Whitney, Autograph Collection","$335"
The Cochrane House Luxury Historic Inn","$348"
Motorcity Casino Hotel","$228"
Detroit Club","$313"
Atheneum Suite Hotel","$215"
The Siren Hotel","$305"
Quality Inn Detroit Downtown","$164"
Pontchartrain","$193"
Viking Motel-Detroit","$116"
Holiday Inn Express Windsor Waterfront, an IHG Hotel","$161"
DoubleTree by Hilton Windsor, ON","$169"
Caesars Windsor Hotel and Casino","$179"
Comfort Inn & Suites Ambassador Bridge","$122"
Howard Johnson Plaza by Wyndham Windsor","$84"
Quality Inn & Suites Downtown Windsor, ON, Canada","$139"
Super 8 by Wyndham Windsor/Dougall","$99"
TownePlace Suites by Marriott Windsor","$184"
Ramada Limited Windsor","$104"
Lexington Inn & Suites-Windsor","$92"
Comfort Inn","$142"
Motel 6-Windsor, ON","$83"
Super 8 by Wyndham Ambassador Bridge Windsor ON","$112"
Sandwich Boutique Hotel","$161"
Residence & Conference Centre - Windsor","$114"
Comfort Inn Downtown","$173"
Modern Spacious 1 Bedroom And A Den Home","$360"
Super 8 Windsor/dougall","$99"
Hotel/home","$380"
Lorris Suite 1 Bedroom With Historical Charm","$113"
Mulberry Court","$90"
Harrahs Windsor Casino","$207"
Stunning 3 Bedroom Single Family Home.","$180"
Radisson Riverfront Windsor","$169"
Spacious Cheerful Home With 2 Free Parking","$141"
Detroit Marriott at the Renaissance Center","$283"
Hollywood Casino at Greektown","$221"
Shinola Hotel","$308"
Courtyard by Marriott Detroit Downtown","$259"
Sonder Gabriel Richard","$130"
Atheneum Suite Hotel","$192"
Element Detroit at the Metropolitan","$362"
Fort Pontchartrain Detroit, a Wyndham Hotel","$233"
The Westin Book Cadillac Detroit","$394"
DoubleTree Suites by Hilton Hotel Detroit Downtown - Fort Shelby","$223"
MGM Grand Detroit","$258"
The Siren Hotel","$138"
Trumbull and Porter - Detroit Downtown","$176"
Hotel Indigo Detroit Downtown, an IHG Hotel","$207"
Sonder The Randolph","$132"
Hilton Garden Inn Detroit Downtown","$232"
Quality Inn Detroit Downtown","$165"
2br Executive Downtown Apartment","$259"
Hotel David Whitney, Autograph Collection","$314"
Comfort Inn Downtown","$184"
Motorcity Casino Hotel","$256"
The Detroit Club","$276"
Detroit Foundation Hotel","$383"
2br Premium Downtown Suite With Parking","$259"
Executive Downtown Retreat","$225"
Holiday Inn Express Windsor Waterfront, an IHG Hotel","$161"
DoubleTree by Hilton Windsor, ON","$169"
Caesars Windsor Hotel and Casino","$179"
Comfort Inn & Suites Ambassador Bridge","$122"
Howard Johnson Plaza by Wyndham Windsor","$84"
Quality Inn & Suites Downtown Windsor, ON, Canada","$134"
Super 8 by Wyndham Windsor/Dougall","$99"
Comfort Inn","$149"
TownePlace Suites by Marriott Windsor","$184"
Lexington Inn & Suites-Windsor","$92"
Four Points by Sheraton Windsor Downtown","$172"
Ramada Limited Windsor","$105"
Hampton Inn & Suites by Hilton Windsor","$179"
Super 8 by Wyndham Ambassador Bridge Windsor ON","$112"
Motel 6-Windsor, ON","$83"
Kenora Motel","$94"
Ivy Rose Motor Inn","$73"
Ye Olde Walkerville Bed & Breakfast","$114"
Sandwich Boutique Hotel","$161"
Stonecroft Inn","$150"
Residence & Conference Centre - Windsor","$114"
Housing Albert","$69"
Bestway Motel","$90"
Travellers Choice","$100"
The Boho Oasis","$140"
