Hotel Name,Hotel Price (CA) per night
"Comfort Inn Downtown","$173"
"Lorris Suite 1 Bedroom With Historical Charm","$100"
"Harrahs Windsor Casino","$208"
"Spacious Cheerful Home With 2 Free Parking","$141"
"Radisson Riverfront Windsor","$170"
"Stunning 3 Bedroom Single Family Home.","$180"
"Hollywood Casino at Greektown","$220"
"Detroit Marriott at the Renaissance Center","$282"
"The Westin Book Cadillac Detroit","$399"
"Shinola Hotel","$307"
"MGM Grand Detroit","$257"
"Fort Pontchartrain Detroit, a Wyndham Hotel","$180"
"DoubleTree Suites by Hilton Hotel Detroit Downtown - Fort Shelby","$223"
"Sonder The Randolph","$132"
"Courtyard by Marriott Detroit Downtown","$232"
"Hotel Indigo Detroit Downtown, an IHG Hotel","$207"
"Sonder Gabriel Richard","$128"
"Comfort Inn Downtown","$184"
"The Siren Hotel","$195"
"Trumbull and Porter - Detroit Downtown","$185"
"Element Detroit at the Metropolitan","$361"
"Hilton Garden Inn Detroit Downtown","$232"
"The Detroit Club","$275"
"Hotel David Whitney, Autograph Collection","$313"
"Quality Inn Detroit Downtown","$165"
"Detroit Foundation Hotel","$382"
"Atheneum Suite Hotel","$193"
"Motorcity Casino Hotel","$256"
"Executive Downtown Retreat","$259"
"The Cochrane House Luxury Historic Inn","$322"
"Queen G Investments 1 Bedroom Apts By Redawning","$112"
"Stay Inn & Suites Detroit","$104"
"Prime City Center Location! 2br Near Everything!","$211"
"Viking Motel-Detroit","$116"
"The Inn on Ferry Street","$179"
"Comfort Inn Downtown","$173"
"Lorris Suite 1 Bedroom With Historical Charm","$100"
"Harrahs Windsor Casino","$208"
"Spacious Cheerful Home With 2 Free Parking","$141"
"Radisson Riverfront Windsor","$170"
"Stunning 3 Bedroom Single Family Home.","$180"
"Hollywood Casino at Greektown","$220"
"Detroit Marriott at the Renaissance Center","$282"
"The Westin Book Cadillac Detroit","$399"
"Shinola Hotel","$307"
"MGM Grand Detroit","$257"
"Fort Pontchartrain Detroit, a Wyndham Hotel","$233"
"DoubleTree Suites by Hilton Hotel Detroit Downtown - Fort Shelby","$223"
"Sonder The Randolph","$132"
"Courtyard by Marriott Detroit Downtown","$232"
"Hotel Indigo Detroit Downtown, an IHG Hotel","$207"
"Sonder Gabriel Richard","$128"
"Comfort Inn Downtown","$184"
"The Siren Hotel","$195"
"Trumbull and Porter - Detroit Downtown","$185"
"Element Detroit at the Metropolitan","$361"
"Hilton Garden Inn Detroit Downtown","$232"
"The Detroit Club","$275"
"Hotel David Whitney, Autograph Collection","$313"
"Quality Inn Detroit Downtown","$165"
"Detroit Foundation Hotel","$382"
"Atheneum Suite Hotel","$193"
"Motorcity Casino Hotel","$256"
"Executive Downtown Retreat","$259"
"Prime City Center Location! 2br Near Everything!","$211"
"Queen G Investments 1 Bedroom Apts By Redawning","$112"
"Stay Inn & Suites Detroit","$104"
"The Cochrane House Luxury Historic Inn","$407"
"Viking Motel-Detroit","$116"
"The Inn on Ferry Street","$179"
